admission_diagnosis_group;n_rows;pct_rows
Cardiovascular;53996;19,47
Oncology;48294;17,41
Injury and trauma;40075;14,45
Digestive;36266;13,08
Respiratory;24996;9,01
Genitourinary;14651;5,28
Obstetric;11351;4,09
Musculoskeletal;9397;3,39
Neurology;8680;3,13
Endocrine and metabolic;6600;2,38
Healthcare contact and follow-up;5636;2,03
Symptoms and signs;5247;1,89
Infectious diseases;3835;1,38
Hematology and immunology;3008;1,08
Dermatology;2249;0,81
Other;1580;0,57
Ophthalmology and ENT;616;0,22
Congenital;507;0,18
Mental health;357;0,13
