;edat;SBP;DBP;TAM;HR;RESP;O2SAT;TEMP;creatinina;bilirubina_total;plaquetes;leucocits;pcr
edat;1,0;0,23217796810838134;-0,09609474746250629;0,07603596115776258;-0,09711950028216139;0,17650563131377492;-0,2436829211715091;-0,0890602678994036;0,32449316518352816;0,08626359272093882;-0,07323513824597348;-0,008178686893530865;0,07197345014920113
SBP;0,23217796810838134;1,0;0,6108115787249047;0,8661988100204037;-0,046572600869245;0,061001795984259255;-0,061842661352194704;0,00020222962401687908;0,10342079500074668;-0,026817801887330826;0,017735220366127732;0,02943357387348925;0,02732168210036862
DBP;-0,09609474746250629;0,6108115787249047;1,0;0,8697553110665676;0,12482744463833426;0,005170134127489518;-0,016601916227629743;-0,024156517596553333;-0,03665272151085727;-0,02273315392087047;0,056646571828346225;0,031072605385751823;0,013419972474212139
TAM;0,07603596115776258;0,8661988100204037;0,8697553110665676;1,0;0,03894471533539162;0,03616197933141618;-0,04001816664509208;-0,015539968098661401;0,03424082087216584;-0,02707782662910234;0,03912198664285518;0,02998917043804846;0,022372334861831635
HR;-0,09711950028216139;-0,046572600869245;0,12482744463833426;0,03894471533539162;1,0;0,05590377259748659;-0,06144943071008384;0,23018309463392453;-0,13026927763991428;-0,04554753116667473;0,09153607557289242;0,13736761384720916;0,21282394456955772
RESP;0,17650563131377492;0,061001795984259255;0,005170134127489518;0,03616197933141618;0,05590377259748659;1,0;-0,07626773626751138;-0,009611759482659151;0,131827713407717;0,02614541706818715;0,10412446842286845;0,1294177139524352;0,09906821608002855
O2SAT;-0,2436829211715091;-0,061842661352194704;-0,016601916227629743;-0,04001816664509208;-0,06144943071008384;-0,07626773626751138;1,0;-0,009943515833739588;-0,06266298974996669;0,021089621002895458;-0,07844003813113457;-0,12605153040403935;-0,11174080724169158
TEMP;-0,0890602678994036;0,00020222962401687908;-0,024156517596553333;-0,015539968098661401;0,23018309463392453;-0,009611759482659151;-0,009943515833739588;1,0;-0,06332694066709045;0,006883302815162095;-0,022639501093612843;0,02579476746552697;0,17357113152967135
creatinina;0,32449316518352816;0,10342079500074668;-0,03665272151085727;0,03424082087216584;-0,13026927763991428;0,131827713407717;-0,06266298974996669;-0,06332694066709045;1,0;0,0693523258818171;-0,12838081023807002;0,042061024307743486;0,04123852311387373
bilirubina_total;0,08626359272093882;-0,026817801887330826;-0,02273315392087047;-0,02707782662910234;-0,04554753116667473;0,02614541706818715;0,021089621002895458;0,006883302815162095;0,0693523258818171;1,0;-0,2960844966638339;0,003189205920233279;0,05189199181466843
plaquetes;-0,07323513824597348;0,017735220366127732;0,056646571828346225;0,03912198664285518;0,09153607557289242;0,10412446842286845;-0,07844003813113457;-0,022639501093612843;-0,12838081023807002;-0,2960844966638339;1,0;0,37635298980059;0,0523348001154485
leucocits;-0,008178686893530865;0,02943357387348925;0,031072605385751823;0,02998917043804846;0,13736761384720916;0,1294177139524352;-0,12605153040403935;0,02579476746552697;0,042061024307743486;0,003189205920233279;0,37635298980059;1,0;0,19426334451479696
pcr;0,07197345014920113;0,02732168210036862;0,013419972474212139;0,022372334861831635;0,21282394456955772;0,09906821608002855;-0,11174080724169158;0,17357113152967135;0,04123852311387373;0,05189199181466843;0,0523348001154485;0,19426334451479696;1,0
