variable;variable_label;n_observed;coverage_pct;expected_min;expected_max;n_below_range;n_above_range;n_out_of_range;pct_out_of_range_among_observed;min;p01;median;p99;max
lactat_venos;Venous lactate;21182;7,64;0,1;30;0;1120;1120;5,29;2,5;5,0;13,0;53,0;153,0
lactat_arterial;Arterial lactate;24358;8,78;0,1;30;0;720;720;2,96;2,0;4,0;11,0;43,0;153,0
leucocits;Leukocytes;132027;47,6;0,1;200;443;0;443;0,34;0,01;0,28;8,83;29,13;199,63
creatinina;Creatinine;130289;46,98;0,1;20;44;0;44;0,03;0,01;0,338;0,832;6,45;20,0
GLASGOW;Glasgow;10228;3,69;3,0;15;3;0;3;0,03;1,0;6,0;15,0;15,0;15,0
RESP;Respiratory rate;242785;87,54;4,0;60;0;52;52;0,02;4,0;13,0;17,0;24,0;80,0
plaquetes;Platelets;132006;47,6;1,0;1500;0;14;14;0,01;1,0;12,0;226,0;720,0;1912,0
SBP;SBP;237230;85,54;50,0;260;7;0;7;0,0;42,0;90,0;122,0;175,0;259,0
O2SAT;O2 saturation;240537;86,73;50,0;100;6;0;6;0,0;40,0;90,0;96,0;100,0;100,0
TAM;MAP;231961;83,64;30,0;180;3;3;6;0,0;20,0;62,0;89,0;120,0;215,0
DBP;DBP;237213;85,53;20,0;160;0;2;2;0,0;21,0;47,0;72,0;98,0;180,0
DIURESIS;Urine output;35;0,01;0,0;5000;0;0;0;0,0;1,0;1,68;300,0;866,0;900,0
FIO2;FiO2;11407;4,11;21,0;100;0;0;0;0,0;21,0;21,0;28,0;98,0;100,0
HR;Heart rate;238280;85,92;20,0;250;0;0;0;0,0;20,0;49,0;77,0;116,0;232,0
TEMP;Temperature;251278;90,6;30,0;43;0;0;0;0,0;30,8;35,0;36,2;37,8;41,7
bilirubina_total;Total bilirubin;65399;23,58;0,0;50;0;0;0;0,0;0,034;0,146;0,43;10,06;39,38
edat;Age;277341;100,0;0,0;110;0;0;0;0,0;18,0;21,0;67,0;94,0;102,0
temps_cirurgia;Surgery time;169393;61,08;0,0;1440;0;0;0;0,0;0,0;0,0;0,0;1,267;22,583
