month;rows;episodes;patients
2023-01-01;26;2;2
2023-02-01;56;2;2
2023-03-01;61;2;2
2023-04-01;64;3;3
2023-05-01;86;9;9
2023-06-01;1197;177;177
2023-07-01;7833;1034;980
2023-08-01;8338;1192;1129
2023-09-01;8379;1167;1110
2023-10-01;8668;1191;1142
2023-11-01;8185;1200;1156
2023-12-01;8802;1152;1103
2024-01-01;9308;1206;1157
2024-02-01;8241;1192;1148
2024-03-01;8435;1185;1126
2024-04-01;8471;1227;1173
2024-05-01;9441;1333;1262
2024-06-01;8741;1215;1154
2024-07-01;8201;1212;1151
2024-08-01;7653;1174;1113
2024-09-01;8153;1096;1053
2024-10-01;9484;1316;1242
2024-11-01;8676;1191;1144
2024-12-01;8984;1283;1217
2025-01-01;9308;1295;1234
2025-02-01;8307;1225;1184
2025-03-01;8813;1281;1218
2025-04-01;8738;1266;1205
2025-05-01;8642;1273;1206
2025-06-01;8953;1285;1217
2025-07-01;8512;1290;1233
2025-08-01;8047;1226;1176
2025-09-01;8345;1190;1147
2025-10-01;9159;1337;1266
2025-11-01;9103;1273;1222
2025-12-01;8950;1347;1281
2026-01-01;9018;1237;1192
2026-02-01;7117;1110;1067
2026-03-01;846;234;234
