level,top_percent,n_reviewed,captured_positives,total_positives,sensitivity,ppv
patient_day,1,137,116,1226,0.09461663947797716,0.8467153284671532
patient_day,2,273,187,1226,0.15252854812398042,0.684981684981685
patient_day,5,681,350,1226,0.28548123980424145,0.5139500734214391
patient_day,10,1361,539,1226,0.4396411092985318,0.39603232916972814
patient_day,20,2722,817,1226,0.666394779771615,0.30014695077149156
episode,1,20,19,380,0.05,0.95
episode,2,40,36,380,0.09473684210526316,0.9
episode,5,100,78,380,0.20526315789473684,0.78
episode,10,200,133,380,0.35,0.665
episode,20,400,216,380,0.5684210526315789,0.54
