rank,variable,mean_abs_shap,n_encoded_features,shap_importance_pct
1,plaquetes,0.4547571234016911,2,16.182610853211763
2,codi_servei_admissor,0.29190116538994665,20,10.387353433344694
3,creatinina,0.2865281993321151,2,10.196155507315504
4,bilirubina_total,0.143154496916527,2,5.094177520867934
5,TAM,0.1285388146837834,2,4.574075941903176
6,SBP,0.10911858395947407,2,3.8830036742710154
7,grup_diagnostic_ingres,0.0986642316087227,19,3.510983738554402
8,DBP,0.08233929326172973,2,2.9300579852733293
9,dispositius_invasius_previs,0.08178885672479483,2,2.910470605948786
10,edat,0.07977504642965522,2,2.838808818455135
11,TEMP,0.06777409526109555,2,2.411752896435738
12,FIO2,0.06678445776181204,2,2.3765364749383564
13,diagnostic_ingres_prefix3,0.0652866017925178,20,2.323235011326453
14,font_admissio,0.052480296819300346,2,1.8675204349413088
15,HR,0.04885534994328872,2,1.7385260736891683
16,porta_o2,0.04521307584742093,2,1.6089151203229723
17,pct_neutrofils,0.04486479535126114,2,1.5965214986575034
18,dia_relatiu,0.04396396767632808,2,1.5644653901127925
19,temps_protrombina_pct,0.038665155614584404,2,1.375906246853897
20,temps_critics_dia,0.03793516982612707,2,1.3499295763740253
21,GLASGOW,0.03732793972978482,2,1.3283211884196822
22,leucocits,0.03253817798127335,2,1.1578766885601512
23,diagnostic_ingres_codi,0.030748312371433464,20,1.094184011407735
24,got_ast,0.027631814905407354,2,0.9832829103090435
25,glucosa,0.02234452778465236,2,0.7951338840676254
26,previous_day_gap,0.021210222530435054,2,0.7547694355012242
27,vasopressor_qualsevol,0.02093069910022324,2,0.7448225459140169
28,en_critics_dia,0.02059071615859151,2,0.7327241941608841
29,pcr,0.019547028423866408,2,0.695584385691281
30,antibiotics_previs_90d,0.0189188538736281,2,0.673230685724236
31,atb_duracio,0.017964154673622574,2,0.6392575496466835
32,urocultiu_resultat,0.01655952848961729,20,0.5892736840615561
33,RESP,0.016373799320775817,2,0.5826644794800653
34,dies_des_ingres,0.015957381671635584,2,0.5678461854464536
35,COMORB_MALNUTRICIO_SEVERA,0.014283514423990689,2,0.5082813300661734
36,hospitalitzacio_recent_90d,0.014111778987542204,2,0.502170094871079
37,urgencia_cirurgia,0.013561415971444543,2,0.48258533179823904
38,O2SAT,0.013229906473834166,2,0.470788509015468
39,centre_origen,0.012657998891849624,2,0.4504370788409875
40,vasopressor_noradrenalina,0.012546350974192605,2,0.4464640683898261
41,hematocrit,0.011567943055104795,2,0.4116472534450427
42,temps_cirurgia,0.011559434121975135,2,0.41134446158862653
43,COMORB_DIABETES_MELLITUS,0.011370481173309285,2,0.4046205382447685
44,urea,0.011015183258682148,2,0.3919772005299904
45,antibiotic,0.01021718115265716,2,0.36358015763102963
46,hemoglobina,0.009557906733834063,2,0.3401197634639487
47,COMORB_NEUTROPENIA_GREU,0.008691487554107884,2,0.3092880871696053
48,COMORB_IRC_DIALISI,0.008262420917531824,2,0.2940196767313732
49,cirurgia,0.007457677659110803,2,0.26538274875901063
50,granulocits_immadurs,0.005106594795474126,2,0.1817190586087848
51,COMORB_TRASPLANT_ORGAN_SOLID,0.004531753902774823,2,0.16126324606541811
52,sexe,0.00432020458372929,2,0.15373522697521055
53,COMORB_NEOPLASIA_SOLIDA,0.004280760956864918,2,0.15233161869435333
54,COMORB_ENOLISME_SEVER,0.00422927580188904,2,0.15049951055394717
55,reingres_30d,0.004216987905822962,2,0.15006224364814347
56,COMORB_MALABSORTIVES,0.004118691146985494,2,0.14656433649168166
57,cultiu_positiu_previ_90d,0.004080245653043533,2,0.1451962469434225
58,COMORB_NEOPLASIA_HEMATOLOGICA,0.003516668139385564,2,0.12514124369041874
59,COMORB_ESPLENECTOMIA,0.0023608727224602396,2,0.08401206396890187
60,COMORB_TRASPLANT_MOLL_OS,0.0021605385405747256,2,0.07688313747337079
61,colonitzacio_previa_cre,0.0015467836323598764,2,0.055042562960552335
62,colonitzacio_previa_blee,0.0015356912311845407,2,0.05464783794710905
63,colonitzacio_previa_vre,0.001389199517131217,2,0.049434904977500735
64,ag_legionella,0.0013513020500022135,2,0.048086317058121775
65,COMORB_CIRROSI_HEPATICA,0.0012349559554628037,2,0.04394612117039474
66,COMORB_ASPLENIA,0.0011438546294100921,2,0.040704264733502006
67,colonitzacio_previa_mrsa,0.0006721366029401319,2,0.023918097212459005
68,hemocultiu_positiu,0.000653658878017378,2,0.023260564176712597
69,COMORB_VIH_SIDA,0.00037645104220283235,2,0.01339607541644455
70,vasopressor_multiple,0.00019585482042276786,2,0.006969527643501534
71,ag_pneumococ,1.4075015400813168e-05,2,0.0005008618562817544
72,COMORB_AGAMMAGLOBULINEMIA,0.0,2,0.0
73,COMORB_HIPOGAMMAGLOBULINEMIA,0.0,2,0.0
74,vasopressor_adrenalina,0.0,2,0.0
75,vasopressor_dobutamina,0.0,2,0.0
76,vasopressor_dopamina,0.0,2,0.0
