rank,branch,variable,mean_abs_shap,mean_shap,n_encoded_features,shap_importance_pct,positive_shap_pct,mean_direction
1,temporal,plaquetes,0.0383183015655415,-0.0005943329901965575,2,8.287701319025278,34.56212285268503,decreases_mean_predicted_risk
2,static,codi_servei_admissor,0.03603195136171337,-0.0008546975522966707,20,7.793196426432125,68.82525535445197,decreases_mean_predicted_risk
3,temporal,creatinina,0.03442828788632895,0.0008590757152756247,2,7.446346922221113,30.926404258683593,increases_mean_predicted_risk
4,static,grup_diagnostic_ingres,0.027451057382925224,-0.0032678962542104267,19,5.937271621811584,37.960148279278734,decreases_mean_predicted_risk
5,temporal,TAM,0.0158527493174999,-0.0002682528105374184,2,3.428723248709167,41.45063944864483,decreases_mean_predicted_risk
6,static,diagnostic_ingres_prefix3,0.015367890945728957,0.0009902304545607878,20,3.3238553082449136,33.98546205817352,increases_mean_predicted_risk
7,temporal,bilirubina_total,0.015198924952726315,0.003946756300956456,2,3.2873103773407295,52.34375,increases_mean_predicted_risk
8,static,font_admissio,0.011290132253889173,0.002301015749985708,2,2.4418943468170613,80.97597518689214,increases_mean_predicted_risk
9,temporal,hemoglobina,0.0105146743505161,0.0003645050849414018,2,2.274173878370908,49.6452352812724,increases_mean_predicted_risk
10,temporal,antibiotic,0.010230878143866253,0.0015707048104291418,2,2.2127928124026446,53.125,increases_mean_predicted_risk
11,temporal,dia_relatiu,0.009123542534401024,-0.00221922880448442,2,1.9732919364185824,63.28125,decreases_mean_predicted_risk
12,temporal,urocultiu_resultat,0.009028208855537562,-0.0016451278036373183,20,1.9526726233544889,35.60617750780845,decreases_mean_predicted_risk
13,static,cirurgia,0.008893742679406144,-0.0017373353418779925,2,1.9235895100702927,37.5,decreases_mean_predicted_risk
14,temporal,dispositius_invasius_previs,0.00885795681160826,0.0049406350874226105,2,1.9158495380038456,27.34375,increases_mean_predicted_risk
15,temporal,pct_neutrofils,0.008773056359649027,-0.0008650200851852302,2,1.8974867828988249,49.15856400002405,decreases_mean_predicted_risk
16,temporal,leucocits,0.008548934762333907,0.0003845289823765604,2,1.8490124825827345,32.80056495247694,increases_mean_predicted_risk
17,temporal,temps_protrombina_pct,0.00837690080631833,0.0038591811689291204,2,1.8118039950993123,51.563718293723944,increases_mean_predicted_risk
18,temporal,SBP,0.008292485371033591,-0.00356148744183803,2,1.7935461421733738,25.47633429039453,decreases_mean_predicted_risk
19,temporal,TEMP,0.008252669774605882,-0.0016676355014751238,2,1.7849345973618875,16.142825515760585,decreases_mean_predicted_risk
20,temporal,antibiotics_previs_90d,0.008079678539458922,-0.0010178915394631284,2,1.747519064075398,43.75,decreases_mean_predicted_risk
21,temporal,porta_o2,0.007975049000431333,-0.001483729368713325,2,1.7248891892328306,16.391946707355945,decreases_mean_predicted_risk
22,temporal,dies_des_ingres,0.007870598056184033,-0.0016662842344027007,2,1.702297941890327,67.1875,decreases_mean_predicted_risk
23,temporal,vasopressor_qualsevol,0.007204051777540346,-0.006219113023008659,2,1.5581335022619702,0.78125,decreases_mean_predicted_risk
24,temporal,hematocrit,0.0068385104035090455,0.0008661030553772145,2,1.4790721241751645,36.87771736943167,increases_mean_predicted_risk
25,temporal,DBP,0.006418199983205156,-0.0007922242535513179,2,1.388164983659178,36.90093122782011,decreases_mean_predicted_risk
